QueryId;QueryText;Gold Standard;Adequate;;;Source;SourceEndpoint;Target;Target Endpoint
1;PREFIX movie: <http://data.linkedmdb.org/resource/movie/>  PREFIX purlc: <http://purl.org/dc/terms/> SELECT ?actor WHERE { ?film purlc:title ?Top Gun? . ?film movie:actor ?actor .};PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>    PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?actor WHERE {{ ?film foaf:name ?Top Gun? .} UNION { ?film rdfs:label ?Top Gun? .} ?film db-o:starring ?actor .};PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>    PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?actor WHERE {{ ?film foaf:name ?Top Gun? .} UNION { ?film rdfs:label ?Top Gun? .} ?film db-o:starring ?actor .};;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
2;PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/> SELECT ?film ?director ?genre WHERE {?film movie:director ?director. ?film movie:country db:country/IT. ?film movie:genre ?genre .};PREFIX db-p: <http://dbpedia.org/property/>  PREFIX db-o: <http://dbpedia.org/ontology/>    SELECT ?film ?director ?genre WHERE {?film db-o:director ?director. ?film db-p:country db-r:Italy. ?film ?p ?genre .};PREFIX db-p: <http://dbpedia.org/property/>  PREFIX db-o: <http://dbpedia.org/ontology/>    SELECT ?film ?director ?genre WHERE {?film db-o:director ?director. ?film db-p:country db-r:Italy. ?film ?p ?genre .};;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
3;PREFIX mo: <http://purl.org/ontology/mo/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?name ?band WHERE {?artist rdfs:label ?name. ?artist mo:member of ?band. ?band rdfs:label ?The Beatles? .};PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?name ?band WHERE {?artist foaf:name ?name. ?band db-o:formerBandMember ?band foaf:name ?The Beatles?.};PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?name ?band WHERE {?artist foaf:name ?name. ?band db-o:formerBandMember ?band foaf:name ?The Beatles?.};;;MusicBrainz;http://dbtune.org/musicbrainz/sparql;Dbpedia;http://dbpedia.org/sparql
4;PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX mo: <http://purl.org/ontology/mo/>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?album WHERE {?album rdf:type mo:Record . ?album foaf:maker ?artist . ?artist foaf:name Slayer .};PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?album WHERE  {{ ?album rdf:type db-o:Album . } union{ ?album rdf:type db-o:Single.} ?album db-o:artist ?artist. artist foaf:name ?Slayer?. };PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?album WHERE  {{ ?album rdf:type db-o:Album . } union{ ?album rdf:type db-o:Single.} ?album db-o:artist ?artist. artist foaf:name ?Slayer?. };;;MusicBrainz;http://dbtune.org/musicbrainz/sparql;Dbpedia;http://dbpedia.org/sparql
5;PREFIX db-o: <http://dbpedia.org/ontology/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT DISTINCT ?a WHERE { ?a a db-o:Artist. ?a foaf:name ?n. FILTER (regex(?n, ?John?,?i?)) .};PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>   SELECT DISTINCT ?a WHERE  {{ ?a a movie:editor .} UNION { ?a a db:movie/producer . } UNION { ?a a foaf:Person . } ?a rdfs:label ?n .  FILTER (regex(?n, ?John?,?i?)) . };PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>   SELECT DISTINCT ?a WHERE  {{ ?a a movie:editor .} UNION { ?a a db:movie/producer . } UNION { ?a a foaf:Person . } ?a rdfs:label ?n .  FILTER (regex(?n, ?John?,?i?)) . };;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
6;PREFIX db-r: <http://dbpedia.org/resource/> SELECT DISTINCT ?a WHERE { db-r:The Other Side of the Wind ?p ?a .};PREFIX movie: <http://data.linkedmdb.org/resource/movie/>  SELECT DISTINCT ?a WHERE{  movie:46921 ?p ?a .};PREFIX movie: <http://data.linkedmdb.org/resource/movie/>  SELECT DISTINCT ?a WHERE{  movie:46921 ?p ?a .};;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
7;"PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX purlc: <http://purl.org/dc/terms/> SELECT ?movieName WHERE { ?woody movie:director name ?Woody Allen?. ?actor movie:actor name ?Julie Kavner?. ?movie movie:director ?woody; movie:actor ?actor; purlc:title ?movieName.}";"PREFIX foaf:< http://xmlns.com/foaf/0.1/>  PREFIX db-o: <http://dbpedia.org/ontology/>    SELECT ?movieName WHERE { ?woody foaf:name ?Woody Allen?@en.  ?actor foaf:name ?Julie Kavner?@en.  ?movie db-o:director ?woody;  db-o:starring ?actor; ?p ?movieName. }";"PREFIX foaf:< http://xmlns.com/foaf/0.1/>  PREFIX db-o: <http://dbpedia.org/ontology/>    SELECT ?movieName WHERE { ?woody foaf:name ?Woody Allen?@en.  ?actor foaf:name ?Julie Kavner?@en.  ?movie db-o:director ?woody;  db-o:starring ?actor; ?p ?movieName. }";;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
8;PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/>  SELECT ?actor WHERE { db:film/154 movie:actor ?actor. };PREFIX db-o: <http://dbpedia.org/ontology/>  PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?actor WHERE {  db-r:E.T. the ExtraTerrestrial db-o:starring ?actor . };PREFIX db-o: <http://dbpedia.org/ontology/>  PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?actor WHERE {  db-r:E.T. the ExtraTerrestrial db-o:starring ?actor . };;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
9;PREFIX movie: <http://data.linkedmdb.org/resource/movie/> PREFIX db: <http://data.linkedmdb.org/resource/>  SELECT ?writer WHERE { db:film/8304 movie:writer ?writer . };PREFIX db-o: <http://dbpedia.org/ontology/>  PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?writer WHERE {db-r-fr:Interstellar (film) db-o:writer ?writer . };PREFIX db-o: <http://dbpedia.org/ontology/>  PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?writer WHERE {db-r-fr:Interstellar (film) db-o:writer ?writer . };;;LinkedMDB;http://www.linkedmdb.org/snorql/;Dbpedia;http://dbpedia.org/sparql
10;PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT distinct ?actor ?place WHERE {?actor a db-o:VoiceActor.?actor db-o:birthPlace ?place } LIMIT 100;PREFIX movie: <http://data.linkedmdb.org/resource/movie/>  SELECT distinct ?actor ?place WHERE {?actor a movie:actor. ?actor ?p ?place . } LIMIT 100;PREFIX movie: <http://data.linkedmdb.org/resource/movie/>  SELECT distinct ?actor ?place WHERE {?actor a movie:actor. ?actor ?p ?place . } LIMIT 100;;;Dbpedia;http://dbpedia.org/sparql;LinkedMDB;http://www.linkedmdb.org/snorql/
